合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,成交金额
al2101,14:51:00.500,15870,112440,15870,48,15880,537,142328,8.89759e+009
al2101,14:51:01.0,15870,112440,15870,53,15875,2,142328,8.89759e+009
al2101,14:51:01.500,15875,112442,15875,11,15880,537,142330,8.89775e+009
al2101,14:51:02.0,15875,112453,15875,4,15880,537,142341,8.89862e+009
al2101,14:51:02.500,15875,112465,15875,2,15880,537,142333,8.89958e+009
al2101,14:51:03.0,15880,112472,15875,8,15880,530,142335,8.90013e+009
al2101,14:51:03.500,15880,112507,15875,67,15880,495,142353,8.90291e+009
al2101,14:51:04.0,15880,112507,15875,68,15880,495,142353,8.90291e+009
al2101,14:51:04.500,15880,112507,15875,78,15880,493,142353,8.90291e+009
al2101,14:51:05.0,15880,112513,15875,85,15880,486,142359,8.90339e+009
al2101,14:51:06.0,15875,112515,15875,83,15880,486,142359,8.90355e+009
al2101,14:51:06.500,15875,112515,15875,83,15880,486,142359,8.90355e+009
al2101,14:51:08.0,15875,112515,15875,82,15880,487,142359,8.90355e+009
al2101,14:51:08.500,15875,112516,15875,81,15880,487,142359,8.90363e+009
al2101,14:51:09.0,15875,112516,15875,81,15880,488,142359,8.90363e+009
al2101,14:51:10.0,15880,112517,15875,81,15880,487,142360,8.9037e+009
al2101,14:51:10.500,15880,112517,15875,82,15880,487,142360,8.9037e+009
al2101,14:51:11.500,15880,112517,15875,83,15880,484,142360,8.9037e+009
al2101,14:51:12.0,15880,112517,15875,86,15880,481,142360,8.9037e+009
al2101,14:51:13.0,15880,112517,15875,86,15880,482,142360,8.9037e+009
al2101,14:51:14.0,15880,112517,15875,86,15880,483,142360,8.9037e+009
al2101,14:51:16.0,15880,112517,15875,90,15880,485,142360,8.9037e+009
al2101,14:51:16.500,15880,112517,15875,91,15880,485,142360,8.9037e+009
al2101,14:51:17.500,15880,112519,15875,91,15880,483,142362,8.90386e+009
al2101,14:51:18.500,15880,112519,15875,91,15880,482,142362,8.90386e+009
al2101,14:51:20.0,15880,112519,15875,91,15880,481,142362,8.90386e+009
