合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,成交金额
i2105,14:48:53.500,983,461192,983,57,983.5,28,474817,4.66824e+010
i2105,14:48:54.0,983.5,461195,983,57,983.5,27,474818,4.66827e+010
i2105,14:48:54.500,983.5,461206,983,59,983.5,17,474813,4.66838e+010
i2105,14:48:55.0,983.5,461207,983,59,983.5,16,474814,4.66839e+010
i2105,14:48:55.500,983,461257,983,25,983.5,18,474783,4.66888e+010
i2105,14:48:56.0,983.5,461258,983,28,983.5,23,474784,4.66889e+010
i2105,14:48:56.500,983.5,461260,983,28,983.5,21,474784,4.66891e+010
i2105,14:48:57.0,983.5,461260,983,28,983.5,26,474784,4.66891e+010
i2105,14:48:57.500,983,461262,983,26,983.5,26,474784,4.66893e+010
i2105,14:48:58.0,983.5,461263,983,30,983.5,25,474785,4.66894e+010
i2105,14:48:58.500,983,461265,983,31,983.5,35,474786,4.66896e+010
i2105,14:48:59.0,983.5,461267,983,36,983.5,34,474785,4.66898e+010
i2105,14:48:59.500,983,461268,983,36,983.5,35,474785,4.66899e+010
i2105,14:49:00.0,983,461268,983,36,983.5,36,474785,4.66899e+010
i2105,14:49:00.500,983.5,461273,983,39,983.5,33,474786,4.66904e+010
i2105,14:49:01.0,983.5,461273,983,41,983.5,34,474786,4.66904e+010
i2105,14:49:02.0,983.5,461305,983,49,984,53,474782,4.66936e+010
i2105,14:49:02.500,983.5,461317,983.5,5,984,77,474783,4.66947e+010
i2105,14:49:03.0,984,461326,983,46,984,76,474783,4.66956e+010
i2105,14:49:03.500,984,461326,983,50,983.5,2,474783,4.66956e+010
i2105,14:49:04.0,983.5,461334,983,47,983.5,9,474782,4.66964e+010
i2105,14:49:04.500,983.5,461334,983,48,983.5,21,474782,4.66964e+010
